1, 0, 1.26538122, 1.55777740
1, 1, 1.27999210, 1.06210113
2, 0, 1.37645137, 0.88225579
2, 1, 1.33455348, 0.69189262
3, 0, 1.60014629, 0.62097591
3, 1, 1.79811549, 0.50311804
4, 0, 1.92418027, 0.46073648
4, 1, 2.11651897, 0.36035502
5, 0, 2.29039168, 0.32107612
5, 1, 2.52181745, 0.29001969
6, 0, 2.74664330, 0.25642315
6, 1, 2.72030330, 0.20314735
7, 0, 2.86813831, 0.17999414
7, 1, 2.78494954, 0.18851417
8, 0, 2.94692087, 0.19495645
8, 1, 3.04301453, 0.16738665
9, 0, 3.00220704, 0.14887488
9, 1, 3.09922910, 0.14300263
10, 0, 3.19305205, 0.14379749
10, 1, 3.25286436, 0.13050658
11, 0, 3.41408992, 0.13045952
11, 1, 3.24900150, 0.15139250
12, 0, 3.32897758, 0.14054294
12, 1, 3.48774791, 0.10990675
13, 0, 3.56914425, 0.11671151
13, 1, 3.56296086, 0.12867184
14, 0, 3.62463140, 0.10098186
14, 1, 3.70536947, 0.12575082
15, 0, 3.88139534, 0.12242895
15, 1, 3.70476246, 0.11225801
16, 0, 3.67084694, 0.07993546
16, 1, 3.93777251, 0.11376132
17, 0, 3.98676538, 0.08344387
